iter	Passed	Remaining
0	157	157045
1	163	81506
2	169	56185
3	176	43966
4	182	36410
5	189	31328
6	193	27403
7	196	24307
8	198	21883
9	201	19935
10	203	18313
11	205	16959
12	207	15786
13	209	14780
14	211	13908
15	213	13122
16	215	12447
17	216	11829
18	218	11273
19	219	10778
20	221	10323
21	222	9913
22	224	9542
23	226	9207
24	228	8894
25	229	8604
26	231	8325
27	232	8081
28	234	7845
29	235	7627
30	237	7420
31	238	7229
32	240	7052
33	242	6882
34	243	6719
35	245	6578
36	247	6441
37	248	6298
38	250	6168
39	251	6045
40	253	5929
41	255	5818
42	256	5716
43	258	5611
44	260	5520
45	261	5425
46	263	5336
47	264	5249
48	266	5170
49	268	5095
50	269	5018
51	271	4941
52	272	4868
53	273	4798
54	276	4742
55	277	4679
56	279	4616
57	280	4555
58	282	4500
59	283	4445
60	285	4391
61	286	4339
62	288	4288
63	290	4243
64	291	4196
65	293	4148
66	294	4101
67	296	4061
68	297	4018
69	299	3976
70	300	3934
71	302	3894
72	303	3859
73	305	3828
74	307	3791
75	308	3755
76	310	3725
77	312	3690
78	313	3655
79	314	3621
80	316	3589
81	318	3560
82	319	3529
83	321	3502
84	322	3474
85	324	3448
86	326	3421
87	327	3393
88	328	3366
89	330	3341
90	332	3317
91	333	3294
92	335	3270
93	337	3249
94	338	3229
95	340	3205
96	341	3183
97	343	3160
98	344	3138
99	346	3116
100	347	3096
101	349	3075
102	351	3058
103	353	3042
104	354	3022
105	356	3003
106	357	2985
107	359	2969
108	361	2951
109	362	2934
110	364	2916
111	366	2901
112	367	2888
113	369	2871
114	370	2854
115	372	2838
116	374	2825
117	375	2808
118	377	2792
119	378	2776
120	380	2761
121	382	2749
122	383	2735
123	385	2720
124	386	2707
125	388	2693
126	389	2678
127	391	2664
128	392	2651
129	394	2638
130	395	2626
131	397	2614
132	399	2601
133	400	2589
134	402	2578
135	403	2566
136	405	2553
137	406	2541
138	408	2530
139	410	2518
140	412	2510
141	413	2498
142	415	2487
143	416	2477
144	418	2466
145	419	2454
146	421	2443
147	422	2432
148	424	2422
149	425	2411
150	427	2403
151	429	2394
152	430	2384
153	432	2375
154	433	2360
155	434	2350
156	435	2341
157	437	2332
158	439	2322
